sentence	label
"Hematologic Effects: Bone marrow depression (leukopenia, anemia, and thrombocytopenia) has occurred in experimental animals receiving large doses of AHA, but has not been seen in man to date."	0
"In these patients, consideration should be given to using a different type of dialysis membrane or a different class of antihypertensive agent."	0
Approximately 70% of circulating inhibitory activity for HMG-CoA reductase is attributed to active metabolites.	0
There are reports that verapamil may result in higher concentrations of the alpha-agonists prazosin and terazosin.	1
"From the dose-ranging studies of candesartan cilexetil, there was a dose related increase in plasma candesartan concentrations."	0
"Stimulants, including Focalin XR, used to treat ADHD are associated with peripheral vasculopathy, including Raynaud's phenomenon."	0
Nucleoside reverse transcriptase inhibitor: Tenofovir disoproxil fumarate <U+2194> Saquinavir No clinically significant effect on saquinavir exposure.	0
"Therefore, monitor renal function and blood pressure periodically in patients receiving irbesartan and NSAID therapy."	0
"In heart failure patients with renal impairment, AUC0-72h was 36% and 65% higher in mild and moderate renal impairment, respectively."	0
"Total doses and frequency of administration must be determined by the patient's response, starting with low doses and increasing gradually."	0
Adverse reactions may occur upon discontinuation of ZOLOFT.	0
Monitor renal function periodically in patients receiving benazepril and NSAID therapy.	0
Do not use in patients with known hypersensitivity to phenothiazines.	0
Short-term studies did not show an increase in the risk of suicidality with antidepressants compared to placebo in adults beyond age 24; there was a reduction in risk with antidepressants compared to placebo in adults aged 65 and older.	0
There was no evidence of a relationship to dose.	0
Specific Populations Sex No sex-related differences in pharmacokinetics are observed in healthy elderly (age 65-80 years) or in healthy young (age 18-40 years) subjects.	0
There have been reports of spontaneous bleeding in patients with hemophilia A and B treated with protease inhibitors.	0
"In patients taking the HIV protease inhibitors saquinavir plus ritonavir, darunavir plus ritonavir, fosamprenavir, or fosamprenavir plus ritonavir, the dose of LIPITOR should not exceed 20 mg and should be used with caution."	1
A causal relationship to nefazodone has not been established.	0
Any of these conditions can lead to quinidine toxicity if dosage is not appropriately reduced.	0
"Administration of iloperidone with a standard high-fat meal did not significantly affect the Cmax or AUC of iloperidone, P88, or P95, but delayed Tmax by 1 hour for iloperidone, 2 hours for P88 and 6 hours for P95."	1
"If treatment with itraconazole, ketoconazole, posaconazole, voriconazole, erythromycin, clarithromycin or telithromycin is unavoidable, therapy with simvastatin must be suspended during the course of treatment."	0
More patients experienced clinically significant INR elevations (<U+2265> 5) usually within 1 week after starting dronedarone versus placebo in patients taking oral anticoagulants in ATHENA.	0
Thiazides have been shown to increase the urinary excretion of magnesium; this may result in hypomagnesemia.	0
Doses of 20 mg or 40 mg of paroxetine were both demonstrated to be significantly superior to placebo on the Hamilton Rating Scale for Anxiety (HAM-A) total score.	0
Vandetanib exposure is increased in patients with impaired renal function.	0
The rate of debrisoquin hydroxylation is felt to depend on the level of CYP2D6 isozyme activity.	0
HORMONAL CONTRACEPTIVES Ethinyl estradiolNorethindrone <U+2193> ethinyl estradiol<U+2193> norethindrone Concentrations of ethinyl estradiol and norethindrone were decreased when coadministered with VIRACEPT.	1
"Drugs Metabolized by Cytochrome CYP2D6: Many drugs, including most drugs effective in the treatment of MDD (paroxetine, other SSRIs, and many tricyclics), are metabolized by the cytochrome P450 isozyme CYP2D6."	0
DIFLUCAN increases the serum concentrations of theophylline.	1
"The AUC0-inf and the Cmax were 36 and 18% higher, respectively, compared with those of healthy volunteers."	0
Marplan should be given to a pregnant woman only if clearly needed.	0
Asymptomatic bradycardia (36 beats/min) with a wandering atrial pacemaker has been observed in a patient receiving concomitant timolol (a beta-adrenergic blocker) eyedrops and oral verapamil.	0
"As with other ACE inhibitors, patients on diuretics, especially those on recently instituted diuretic therapy, may occasionally experience an excessive reduction of blood pressure after initiation of therapy with ACCUPRIL."	0
The risk of myopathy/rhabdomyolysis is increased with concomitant administration of colchicine.	0
Patients on hemodialysis should be given 25 mg or 50 mg after each dialysis; this should be done under hospital supervision as marked falls in blood pressure can occur.	0
"In vitro studies indicate that asenapine is a substrate for UGT1A4, CYP1A2 and to a lesser extent CYP3A4 and CYP2D6."	0
Letairis is only available for females through a restricted program under a REMS.	0
"In such circumstances, nitrates should still only be administered under close medical supervision with appropriate hemodynamic monitoring."	0
The potassium ion (K+) is the principal intracellular cation of most body tissues.	0
Perform a baseline ECG to determine the QT interval and measure and normalize serum potassium and magnesium levels before initiating therapy with starting sotalol injection.	0
"It is not known whether the use of verapamil during labor or delivery has immediate or delayed adverse effects on the fetus, or whether it prolongs the duration of labor or increases the need for forceps delivery or other obstetric intervention."	0
"When DIFLUCAN is used concomitantly with these or other sulfonylurea oral hypoglycemic agents, blood glucose concentrations should be carefully monitored and the dose of the sulfonylurea should be adjusted as necessary."	0
"In addition, administration of alprostadil reopened the closing ductus of new-born rats, rabbits, and lambs."	0
The patient should be cautioned that this drug may impair the mental and/or physical abilities required for the performance of potentially hazardous tasks such as driving a car or operating machinery.	0
Any chloride deficit during thiazide therapy is generally mild and usually does not require any specific treatment except under extraordinary circumstances (as in liver disease or renal disease).	0
Severe renal impairment and end-stage renal disease: Maximum dose 25 mg per day or 50 mg every other day (2.2).	0
Icodextrin functions as a colloid osmotic agent to achieve ultrafiltration during long peritoneal dialysis dwells.	0
WARNING: ABUSE AND DEPENDENCE See full prescribing information for complete boxed warning.	0
TIKOSYN is contraindicated in patients with congenital or acquired long QT syndromes.	0
"In all children, individualization of dosage is required."	0
"However, the LIFE study does not provide evidence that the benefits of losartan potassium tablets on reducing the risk of cardiovascular events in hypertensive patients with left ventricular hypertrophy apply to Black patients."	0
"Alternatively, protease inhibitor-naive children aged 2years and older can be administered LEXIVA (without ritonavir) 30mg per kg twice daily."	0
Race Pharmacokinetic differences related to race were not formally assessed.	0
"Pimozide did not have mutagenic activity in the Ames test with four bacterial test strains, in the mouse dominant lethal test or in the micronucleus test in rats."	0
"A randomized, 3-arm, open-label, cross-over study in healthy volunteers evaluated the bioavailability of PHOSLYRA compared to calcium acetate gelcaps."	0
WARNING: UNRECOGNIZED HYPOGLYCEMIA RESULTING FROM DRUG-DEVICE INTERACTION See full prescribing information for complete boxed warning Use of non-specific glucose monitors has resulted in falsely elevated glucose readings due to maltose interference leading to inappropriate insulin administration or withholding of hypoglycemia treatment.	0
"In animals, amoxapine reduced the uptake of norepinephrine and serotonin and blocked the response of dopamine receptors to dopamine."	0
"Prior to initiation of COREG, it is recommended that fluid retention be minimized."	0
The pharmacodynamic consequences of concomitant use of losartan and inhibitors of P4502C9 have not been examined.	0
"Effects of peripheral vasculopathy, including Raynaud's phenomenon, were observed in postmarketing reports at different times and at therapeutic doses in all age groups throughout the course of treatment."	0
Less than 5% of the drug in the body was cleared during a standard 4-hour hemodialysis procedure.	0
"Verapamil Component With the immediate release formulation, more than 90% of the orally administered dose is absorbed with peak plasma concentrations of verapamil observed 1 to 2 hours after dosing."	0
"By inhibiting the distal tubular exchange mechanism, triamterene maintains or increases the sodium excretion and reduces the excess loss of potassium, hydrogen and chloride ions induced by hydrochlorothiazide."	0
Metabolism and Elimination: Following oral administration perindopril exhibits multicompartment pharmacokinetics including a deep tissue compartment (ACE binding sites).	0
"Although specific studies of its use in treating atrial arrhythmias after infarction have not been conducted, the usual precautions regarding heart failure, avoidance of hypokalemia, bradycardia or prolonged QT interval apply."	0
Thus patients receiving oral anticoagulants and LUVOX CR Capsules should have their prothrombin time monitored and their anticoagulant dose adjusted accordingly.	0
Table 5 provides a listing of established or potentially clinically significant drug interactions.	0
"Patients of all ages who are started on Savella should be monitored appropriately and observed closely for clinical worsening, suicidality, or unusual changes in behavior."	0
Elderly patients (aged 65 years or older) may have increased sensitivity to meperidine hydrochloride.	0
"In vitro studies with EXTRANEAL and the following antibiotics have demonstrated no effects with regard to minimum inhibitory concentration (MIC): vancomycin, cefazolin, ampicillin, ampicillin/flucoxacillin, ceftazidime, gentamicin, and amphotericin."	0
Frequent monitoring for adverse events is recommended.	0
"No evidence of carcinogenicity was found in two 2-year bioassays in rats at doses up to 100 mg/kg, which is 24 and 4 times the maximum recommended human daily dose (MRHD) on a mg/kg and mg/m2 basis, respectively, or in a 2-year bioassay in mice at doses up to 80 mg/kg, which is 20 and 1.5 times the MRHD on a mg/kg and mg/m2 basis, respectively."	0
"There are reported instances of prolonged jaundice, extrapyramidal signs, hyperreflexia or hyporeflexia in newborn infants whose mothers received phenothiazines."	0
ANTIDEPRESSANT Trazodone <U+2191> trazodone Concomitant use of trazodone and VIRACEPT may increase plasma concentrations of trazodone.	1
"In controlled clinical trials, treatment with TARKA resulted in mean increases in potassium of 0.1 mEq/L."	0
"In addition, do not start Savella in a patient who is being treated with linezolid or intravenous methylene blue (4.1, 5.2)."	0
Food does not have a clinically relevant effect on teriflunomide pharmacokinetics.	0
There is only limited experience with the concomitant use of Class Ib or Ic antiarrhythmics.	0
"Because ritonavir is a CYP2D6 inhibitor, clinically significant interactions with drugs metabolized by CYP2D6 are possible when coadministered with LEXIVA plus ritonavir."	0
"The resulting elevated levels of thioridazine would be expected to augment the prolongation of the QTc interval associated with thioridazine and may increase the risk of serious, potentially fatal, cardiac arrhythmias, such as Torsades de pointes type arrhythmias."	0
Do not use desvenlafaxine within 14 days of stopping an MAOI intended to treat psychiatric disorders.	0
Food does not affect the bioavailability of irbesartan.	0
"The concomitant use of paroxetine with other SSRIs, SNRIs or tryptophan is not recommended."	0
"The inhibition of PDE-5 in these tissues by sildenafil may be the basis for the enhanced platelet anti-aggregatory activity of nitric oxide observed in vitro, and the mild peripheral arterial-venous dilatation in vivo."	0
"Co-administration of ONIVYDE with other inhibitors of CYP3A4 (e.g.,clarithromycin, indinavir,itraconazole, lopinavir, nefazodone, nelfinavir, ritonavir, saquinavir, telaprevir, voriconazole) orUGT1A1 (e.g., atazanavir, gemfibrozil, indinavir) may increase systemic exposure to irinotecan or SN-38."	1
Chlorthalidone and related drugs may increase the responsiveness to tubocurarine.	0
"Metabolism and Elimination: Iloperidone is metabolized primarily by 3 biotransformation pathways: carbonyl reduction, hydroxylation (mediated by CYP2D6) and O-demethylation (mediated by CYP3A4)."	0
Particular care should be taken in using stimulants to treat ADHD in patients with comorbid bipolar disorder because of concern for possible induction of a mixed/manic episode in such patients.	0
Four placebo-controlled dose response studies were conducted using once daily oral dosing of trandolapril in doses from 0.25 to 16 mg per day in 827 black and non-black patients with mild to moderate hypertension.	0
"Acute Myopia and Secondary Angle-Closure Glaucoma: Hydrochlorothiazide, a sulfonamide, can cause an idiosyncratic reaction, resulting in acute transient myopia and acute angle-closure glaucoma."	0
The disturbances in parturition were reflected by a slight increase in the number of still born pups and decrease of neonatal survival at these dose levels.	0
"The average time course for effects on aPTT, following approved dosing regimens in patients with various degrees of renal impairment is shown in Figure 2."	0
"Serotonin syndrome may occur with triptans, including MAXALT particularly during co-administration with selective serotonin reuptake inhibitors (SSRIs), serotonin norepinephrine reuptake inhibitors (SNRIs), tricyclic antidepressants (TCAs), and MAO inhibitors."	0
Adjustment of oral hypoglycemic drug dosage may be needed.	0
Increasing the dosage beyond 100 mg a day is unlikely to produce any further benefit.	0
"During the initial phase of combination antiretroviral treatment, patients whose immune system responds may develop an inflammatory response to indolent or residual opportunistic infections [such as Mycobacterium avium infection, cytomegalovirus, Pneumocystis jiroveci pneumonia (PCP), or tuberculosis], which may necessitate further evaluation and treatment."	0
Several guidelines on this subject have been published.25-31 There is no general agreement that all of the procedures recommended in the guidelines are necessary or appropriate.	0
Co-administration of ritonavir in patients on bosentan: Discontinue use of bosentan at least 36 hours prior to initiation of ritonavir.	0
Advise females of reproductive potential to use effective contraception during treatment and for at least 14 days after the last dose.	0
"Statins - Atorvastatin(80mg daily), a drug metabolized by CYP450 3A4, did not alter the pharmacokinetics of prasugrel's active metabolite or its inhibition of platelet aggregation."	0
Administering drugs that act directly on the renin-angiotensin system (RAS) can alter normal renal development.	0
"The clinical effect from risperidone results from the combined concentrations of risperidone and its major metabolite, 9-hydroxyrisperidone."	0
"Although the mechanism of action of chlorthalidone and related drugs is not wholly clear, sodium and water depletion appear to provide a basis for its antihypertensive effect."	0
Hydrochlorothiazide has been shown to have an additive effect.	0
"Pediatric: Pharmacokinetic parameters after multiple doses of losartan (average dose 0.7mg/kg, range 0.36 to 0.97mg/kg) as a tablet to 25hypertensive patients aged 6 to 16years are shown in Table1 below."	0
Set the vent to the close position on a vented intravenous administration set to prevent air embolism.	0
"In the same patients, these reactions were avoided when ACE inhibitors were temporarily withheld, but they reappeared upon inadvertent challenge."	0
"There have been a few reports of serious adverse events associated with the coadministration of dihydroergotamine and potent CYP 3A4 inhibitors, such as protease inhibitors and macrolide antibiotics, resulting in vasospasm that led to cerebral ischemia and/or ischemia of the extremities."	0
Drug interaction studies of quinapril and other agents showed: Multiple dose therapy with propranolol or cimetidine has no effect on the pharmacokinetics of single doses of quinapril.	0
Eligible newly diagnosed patients with Ph+ CML-CP who have received Tasigna for a minimum of 3years and have achieved a sustained molecular response(MR4.5) and patients with Ph+ CML-CP resistant or intolerant to imatinib who have received Tasigna for at least 3 years and have achieved a sustained molecular response (MR4.5) may be considered for treatment discontinuation.	0
"However, aminoglycosides should not be mixed with penicillins due to chemical incompatibility."	0
Monitor hepatic function tests monthly or as clinically indicated [see Warnings and Precautions ( 5.	0
"Sedatives/hypnotics: For contraindicated sedatives/hypnotics,. buspirone, diazepam, estazolam, zoldipem <U+2191> sedatives/hypnotics Titration is recommended when co-administering PREZISTA/ritonavir with sedatives/hypnotics metabolized by CYP3A and a lower dose of the sedatives/hypnotics should be considered with monitoring for adverse events. parenterally administered midazolam Co-administration of parenteral midazolam should be done in a setting which ensures close clinical monitoring and appropriate medical management in case of respiratory depression and/or prolonged sedation."	1
Bipolar Disorder - Screen patients to avoid possible induction of a mixed/manic episode.	0
"When aliskiren was given with cyclosporine or itraconazole , the blood concentrations of aliskiren were significantly increased ."	1
The effects of FLOLAN on mean pulmonary artery pressure (PAPm) were variable and minor.	0
Alkalinization of the urine is a key concept in the management of salicylate overdose.	0
"If it occurs, discontinue ZOLOFT and initiate supportive treatment."	0
"In addition, normal subjects with transient insomnia associated with first night adaptation to the sleep laboratory were evaluated in 24-hour, placebo controlled sleep laboratory studies with temazepam at doses of 7.5 mg, 15 mg and 30 mg, given 30 minutes prior to bedtime."	0
"If such symptoms occur, increase diuretics and restore clinical stability before advancing the dose of TOPROL-XL."	0
Apixaban is not a significant inhibitor of P-gp.	0
"Elimination: In adult cancer patients, the mean ondansetron elimination half-life was 4.0 hours, and there was no difference in the multidose pharmacokinetics over a 4-day period."	0
"Factors such as reduced creatinine clearance, gender (female) and larger doses increase the risk of TdP."	0
This quantity should not induce specific symptoms of intolerance.	0
Irbesartan is not removed by hemodialysis.	0
The ratio of pitavastatin Cmax between patients with mild hepatic impairment (Child-Pugh A disease) and healthy volunteers was 1.3.	0
Patients on PRIFTIN should be monitored for symptoms of liver injury.	0
1.ORAP (pimozide) is contraindicated in the treatment of simple tics or tics other than those associated with Tourette's Disorder.	0
Saturation of this enzyme at clinical doses appears to account for the nonlinearity of paroxetine kinetics with increasing dose and increasing duration of treatment.	0
"For CrCl 15-30 mL/min, start warfarin 1 day before discontinuing PRADAXA."	0
"Additionally, no dosage adjustment is necessary for valproate, lithium, lamotrigine, lorazepam, or sertraline when co-administered with ABILIFY MAINTENA."	0
Ritonavir may decrease plasma levels of phenytoin and phenobarbital.	1
Quetiapine may antagonize the effects of levodopa and dopamine agonists.	0
"Patients, their families, and their caregivers should be encouraged to be alert to the emergence of anxiety, agitation, panic attacks, insomnia, irritability, hostility, aggressiveness, impulsivity, akathisia (psychomotor restlessness), hypomania, mania, other unusual changes in behavior, worsening of depression, and suicidal ideation, especially early during antidepressant treatment and when the dose is adjusted up or down."	0
Serum and urine electrolyte determinations are particularly important when the patient is vomiting excessively or receiving parenteral fluids.	0
Other strong selective CYP3A4 inhibitors such as ketoconazole can also be expected to increase the exposure of zaleplon.	1
The relationship between these effects and improvements in 6-minute walk distance is unknown.	0
Safety and effectiveness in pediatric patients have not been established.	0
"At steady state, the concentrations of citalopram's metabolites, DCT and DDCT, in plasma are approximately one-half and one-tenth, respectively, that of the parent drug."	0
"Distribution At the plasma concentrations achieved by therapeutic doses, approximately 98% of the circulating drug is bound to plasma proteins."	0
Consider 5-mg once daily for patients <60kg (2).	0
"No statistically significant difference between lovastatin and placebo was seen for the primary endpoint (mean change per patient in percent diameter stenosis of all lesions), or for most secondary QCA endpoints."	0
Table 1 is a guideline for dosing conversion from mg/hour to mL/hour.	0
Age - Citalopram pharmacokinetics in subjects <U+2265> 60 years of age were compared to younger subjects in two normal volunteer studies.	0
"Co-administration of SAMSCA with 400 mg ketoconazole daily or with other strong CYP 3A inhibitors ( e.g. , clarithromycin , itraconazole , telithromycin , saquinavir , nelfinavir , ritonavir and nefazodone ) at the highest labeled dose would be expected to cause an even greater increase in tolvaptan exposure ."	1
No drug interactions have been reported between PROSTIN VR PEDIATRIC and the therapy standard in neonates with restricted pulmonary or systemic blood flow.	0
"Because the effect of NARDIL on the convulsive threshold may be variable, adequate precautions should be taken when treating epileptic patients."	0
"In such patients, initiate ALTACE therapy under close medical supervision and follow patients closely for the first 2 weeks of treatment and whenever the dose of ALTACE or diuretic is increased."	0
"The patient's ophthalmologist should be prepared for possible modifications to the surgical technique, such as utilization of iris hooks, iris dilator rings, or viscoelastic substances."	0
Both Cmax and AUC increased in approximate proportion to CRESTOR dose.	0
"Patients with chronic insomnia were evaluated in 2-week, placebo controlled sleep laboratory studies with temazepam at doses of 7.5 mg, 15 mg and 30 mg, given 30 minutes prior to bedtime."	0
Terbinafine clearance is unaffected by cyclosporine.	0
"During post-marketing use of sertraline, cases of QTc prolongation and Torsade de Pointes (TdP) have been reported."	0
"Do not administer PRINIVIL within 36 hours of switching to or from sacubitril/valsartan, a product containing a neprilysin inhibitor (4)"	0
Steady-state plasma concentrations of the two components are achieved after about a week of once-daily dosing of TARKA.	0
The effects of food on the bioavailability of paroxetine were studied in subjects administered a single dose with and without food.	0
Lithium generally should not be given with diuretics.	0
"Sertraline hydrochloride was shown to be statistically significantly more effective than placebo as measured by the BSPS total score and fear, avoidance and physiologic factor scores, as well as the FQ-SPS total score, and to have significantly more responders than placebo as defined by the CGI-I."	0
Potential for WELLBUTRIN XL to Affect Other Drugs Animal data indicated that bupropion may be an inducer of drug-metabolizing enzymes in humans.	0
Patients who develop abnormal liver function tests during DIFLUCAN therapy should be monitored for the development of more severe hepatic injury.	0
"Non-Steroidal Anti-Inflammatory Agents including Selective Cyclooxygenase-2 Inhibitors (COX-2 Inhibitors): In patients who are elderly, volume-depleted (including those on diuretic therapy), or with compromised renal function, co-administration of NSAIDs, including selective COX-2 inhibitors, with angiotensin II receptor antagonists, including telmisartan, may result in deterioration of renal function, including possible acute renal failure."	0
Do not co-administer aliskiren with ACCURETIC in patients with diabetes.	0
Although the overall incidence of FD&C Yellow No.	0
"Indomethacin may also affect plasma renin levels, aldosterone excretion, and renin profile evaluation."	0
"Paliperidone is also active as an antagonist at alpha1 and alpha2 adrenergic receptors and H1 histaminergic receptors, which may explain some of the other effects of the drug."	0
"Pheochromocytoma: If required, first initiate therapy with an alpha blocker."	0
"In a trial in which subjects received ALTACE capsules or the contents of identical capsules dissolved in water, dissolved in apple juice, or suspended in applesauce, serum ramiprilat levels were essentially unrelated to the use or non-use of the concomitant liquid or food."	0
Inappropriate infusion rate - Overly rapid infusion of quinidine may cause peripheral vascular collapse and severe hypotension.	0
The suspension should be refrigerated at 2-8<U+00B0>C (36-46<U+00B0>F) and can be stored for up to 4 weeks.	0
Mutagenicity studies have not been conducted.	0
"Thus, co-administration of APTIVUS/ritonavir with drugs highly dependent on CYP 3A for clearance and for which elevated plasma concentrations are associated with serious and/or life-threatening events is contraindicated."	0
The pooled analyses of placebo-controlled trials in adults with MDD or other psychiatric disorders included a total of 295 short-term trials (median duration of 2 months) of 11 antidepressant drugs in over 77000 patients.	0
"Interaction studies of nefazodone with two triazolobenzodiazepines, i.e., triazolam and alprazolam, metabolized by cytochrome P450 3A4, have revealed substantial and clinically important increases in plasma concentrations of these compounds when administered concomitantly with nefazodone."	1
"The antihypertensive effects of losartan potassium tablets were demonstrated principally in 4 placebo-controlled, 6- to 12-week trials of dosages from 10 to 150mg per day in patients with baseline diastolic blood pressures of 95-115."	0
"In hypertensive type ll diabetic patients with nephropathy, nicardipine capsules (20 mg TID) did not change RPF and GFR, but reduced renal vascular resistance."	0
Potential safety risks include substantial increases in progesterone exposure.	1
Food intake does not alter Cmax or exposure (AUC) of fingolimod or fingolimod-phosphate.	0
"Transient abnormalities in liver function tests (e.g., elevation in serum bilirubin, alkaline phosphatase, and serum transaminases) and reduced biliary excretion of contrast media used for visualization of the gallbladder have also been observed."	0
Some assays are more subject to these failings than others.	0
INVIRASE must be used in combination with ritonavir.	0
The physical psychodynamic factors contributing to depressive symptomatology are very complex; spontaneous remissions or exacerbations of depressive symptoms may occur with or without drug therapy.	0
"Pregnancy: Teratogenic Effects: Teratogenicity studies in rats and rabbits at dopamine HCl dosages up to 6 mg/kg/day intravenously during organogenesis produced no detectable teratogenic or embryotoxic effects, although maternal toxicity consisting of mortalities, decreased body weight gain, and pharmacotoxic signs were observed in rats."	0
Patients taking Effient should also take aspirin(75-mg to 325-mg) daily.	0
"Primary Endpoint Events within Demographic Subgroups In the LIFE study, Black patients treated with atenolol were at lower risk of experiencing the primary composite endpoint compared with Black patients treated with losartan potassium tablets."	0
"There are 2 predominant iloperidone metabolites, P95 and P88."	0
"In clinical experience with 4,954 patients, 87 (1.8%) developed congestive heart failure or pulmonary edema."	0
Ritonavir and other Potent CYP3A Inhibitors Concomitant use of REVATIO with ritonavir and other potent CYP3A inhibitors is not recommended.	0
Study 2 was a 12-week flexible-dose study comparing paroxetine (10 to 60 mg daily) and placebo.	0
"Inhibitors of CYP2B6 Ticlopidine, Clopidogrel: In a study in healthy male volunteers, clopidogrel 75 mg once daily or ticlopidine 250 mg twice daily increased exposures (Cmax and AUC) of bupropion by 40% and 60% for clopidogrel, by 38% and 85% for ticlopidine, respectively."	1
Dose adjustment of digoxin may be needed to maintain therapeutic drug concentrations.	0
Tell female patients of childbearing age about the consequences of exposure to ACCUPRIL during pregnancy.	0
Liver abnormalities were noted in 3.2% of patients taking any of several combinations of trandolapril/verapamil doses.	0
